"","file","sbs_hours","uc_hours","eol_hours","year","season","uc_percentage","eol_percentage"
"1","input_data/gfw_trawler/trawler_seasonal_01_2016.tif",266387.664199948,20711.4730101824,27380.174639225,2016,"Summer",0.0777493697855188,0.102783192763287
"2","input_data/gfw_trawler/trawler_seasonal_01_2017.tif",291291.087176323,23026.7435050607,27349.6384376884,2017,"Summer",0.0790506284564836,0.0938910925933453
"3","input_data/gfw_trawler/trawler_seasonal_01_2018.tif",302866.670701742,22412.5766202211,22457.6808306575,2018,"Summer",0.0740014626511765,0.0741503869627616
"4","input_data/gfw_trawler/trawler_seasonal_01_2019.tif",308797.869820654,20607.9892145395,45993.1550520062,2019,"Summer",0.0667361767311036,0.148942591730696
"5","input_data/gfw_trawler/trawler_seasonal_01_2020.tif",292073.758255959,31963.3687223196,42564.6535193324,2020,"Summer",0.109435948348049,0.145732549796654
"6","input_data/gfw_trawler/trawler_seasonal_01_2021.tif",314019.248698503,23670.8281590343,50007.069643259,2021,"Summer",0.075380182129412,0.159248421396206
"7","input_data/gfw_trawler/trawler_seasonal_01_2022.tif",243163.697598815,20615.258867085,31469.3756052852,2022,"Summer",0.0847793444114227,0.129416421595978
"8","input_data/gfw_trawler/trawler_seasonal_01_2023.tif",181235.849052608,21122.0814671516,30957.200599432,2023,"Summer",0.116544721022718,0.170811684119106
"9","input_data/gfw_trawler/trawler_seasonal_02_2016.tif",270032.510973293,24443.768887639,20763.284573663,2016,"Autumn",0.0905215775668455,0.076891795357621
"10","input_data/gfw_trawler/trawler_seasonal_02_2017.tif",257393.934674501,20814.5199141502,20327.2372732162,2017,"Autumn",0.0808663962516138,0.0789732566889035
"11","input_data/gfw_trawler/trawler_seasonal_02_2018.tif",267466.734003901,22719.0627708435,18772.0377985239,2018,"Autumn",0.0849416390245828,0.0701845703109011
"12","input_data/gfw_trawler/trawler_seasonal_02_2019.tif",275358.695572466,29782.6442579031,28888.8568868041,2019,"Autumn",0.108159447065892,0.104913544955407
"13","input_data/gfw_trawler/trawler_seasonal_02_2020.tif",223124.272556543,22808.266651392,22535.3073018789,2020,"Autumn",0.102222256637776,0.100998905424636
"14","input_data/gfw_trawler/trawler_seasonal_02_2021.tif",238786.532063395,16374.5205944777,16023.295014441,2021,"Autumn",0.0685738866969701,0.0671030098556272
"15","input_data/gfw_trawler/trawler_seasonal_02_2022.tif",220438.640460968,16341.2422889471,19186.8758087754,2022,"Autumn",0.0741305710050438,0.0870395306768949
"16","input_data/gfw_trawler/trawler_seasonal_02_2023.tif",288999.78020528,17029.5619184971,20541.6869630814,2023,"Autumn",0.0589258646023911,0.0710785556601129
"17","input_data/gfw_trawler/trawler_seasonal_03_2016.tif",375202.135808825,7646.58725970984,28565.9026268125,2016,"Winter",0.0203799139981601,0.0761347015395655
"18","input_data/gfw_trawler/trawler_seasonal_03_2017.tif",343525.056380585,11575.377436161,26433.2072306871,2017,"Winter",0.033695875224126,0.0769469555123289
"19","input_data/gfw_trawler/trawler_seasonal_03_2018.tif",392103.428896487,13549.3841764331,37884.6955105066,2018,"Winter",0.0345556380737748,0.0966191385194644
"20","input_data/gfw_trawler/trawler_seasonal_03_2019.tif",393695.480561942,21309.3208931684,30222.9983193874,2019,"Winter",0.0541264046586274,0.0767674505083182
"21","input_data/gfw_trawler/trawler_seasonal_03_2020.tif",371994.531893045,12478.9955494404,17372.8977763653,2020,"Winter",0.033546180063282,0.0467020245914806
"22","input_data/gfw_trawler/trawler_seasonal_03_2021.tif",383788.377100617,8242.59913676977,22508.9737081528,2021,"Winter",0.0214769378870711,0.0586494408147531
"23","input_data/gfw_trawler/trawler_seasonal_03_2022.tif",351559.457110882,6259.69888758659,20510.8356705904,2022,"Winter",0.0178055198373238,0.0583424375471182
"24","input_data/gfw_trawler/trawler_seasonal_03_2023.tif",375594.420675516,10162.3946929574,21642.9126927853,2023,"Winter",0.0270568308088285,0.0576230942245093
"25","input_data/gfw_trawler/trawler_seasonal_04_2016.tif",330285.295502961,18163.5782541037,54494.5554692745,2016,"Spring",0.0549936025049012,0.164992375413776
"26","input_data/gfw_trawler/trawler_seasonal_04_2017.tif",333527.930772722,19172.2697714567,47239.1556563377,2017,"Spring",0.0574832510339933,0.141634781671488
"27","input_data/gfw_trawler/trawler_seasonal_04_2018.tif",341261.64557606,23651.5773506165,58170.378377974,2018,"Spring",0.0693062864146127,0.170456830212433
"28","input_data/gfw_trawler/trawler_seasonal_04_2019.tif",316428.738289863,18774.4317339063,44035.8016877174,2019,"Spring",0.0593322586164979,0.139164988381614
"29","input_data/gfw_trawler/trawler_seasonal_04_2020.tif",356429.315730691,13591.3438870907,46111.450527966,2020,"Spring",0.0381319473097436,0.129370532930032
"30","input_data/gfw_trawler/trawler_seasonal_04_2021.tif",320322.854122341,14527.0969198346,38382.8014500141,2021,"Spring",0.0453514219571929,0.119825360432617
"31","input_data/gfw_trawler/trawler_seasonal_04_2022.tif",182012.426621437,2320.12057989836,21119.6185372472,2022,"Spring",0.0127470449296515,0.116033937513362
"32","input_data/gfw_trawler/trawler_seasonal_04_2023.tif",297457.408448428,11520.2460321188,30479.544257462,2023,"Spring",0.0387290607156491,0.102466919269037
